2025-12-09 10:21:59 | INFO     | ReconTool | Logging session started: 20251209_102159
2025-12-09 10:21:59 | INFO     | ReconTool | [SYSTEM] Recon Tool started
2025-12-09 10:21:59 | INFO     | ReconTool | [NETWORK] Local IP: 192.168.110.217, Gateway: 192.168.110.1
2025-12-09 10:21:59 | INFO     | ReconTool | [SECURITY] MITM detector started
2025-12-09 10:22:58 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-09 10:22:58 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.110.16 <-> 192.168.110.1
2025-12-09 10:25:29 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-09 10:25:29 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-09 10:27:05 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-09 10:27:05 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.110.16 <-> 192.168.110.1
2025-12-09 10:28:48 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-09 10:28:48 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-09 10:31:18 | INFO     | ReconTool | [UI] Exported Sniffing data to /home/kali/Downloads/KO Projects/recon_toolv1/test-fac2.pcap
2025-12-09 10:42:17 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-09 10:42:17 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.110.242 <-> 192.168.110.1
2025-12-09 10:43:02 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-09 10:43:02 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-09 12:13:44 | INFO     | ReconTool | [SYSTEM] Application closing
