2025-12-07 22:15:47 | INFO     | ReconTool | Logging session started: 20251207_221547
2025-12-07 22:15:47 | INFO     | ReconTool | [SYSTEM] Recon Tool started
2025-12-07 22:15:47 | INFO     | ReconTool | [NETWORK] Local IP: 192.168.1.26, Gateway: 192.168.1.1
2025-12-07 22:15:47 | INFO     | ReconTool | [SECURITY] MITM detector started
2025-12-07 22:16:13 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.1.11 <-> 192.168.1.1
2025-12-07 22:16:26 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-07 22:16:26 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-07 22:16:27 | INFO     | ReconTool | [ATTACK] Starting DNS Spoofing: facebook.com -> 192.168.1.26
2025-12-07 22:16:27 | INFO     | ReconTool | [ATTACK] DNS Spoofing started for 192.168.1.11
2025-12-07 22:16:27 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-07 22:16:27 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.1.11 <-> 192.168.1.1
2025-12-07 22:16:36 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-07 22:16:36 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-07 22:16:42 | INFO     | ReconTool | [ATTACK] DNS Spoofing started for 192.168.1.20
2025-12-07 22:16:42 | INFO     | ReconTool | [ATTACK] Starting DNS Spoofing: facebook.com -> 192.168.1.26
2025-12-07 22:16:42 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 1
2025-12-07 22:16:42 | INFO     | ReconTool | [ATTACK] Spoofing started: 192.168.1.20 <-> 192.168.1.1
2025-12-07 22:16:54 | INFO     | ReconTool | [ATTACK] Restoring network config
2025-12-07 22:16:54 | INFO     | ReconTool | [SYSTEM] IP Forwarding set to 0
2025-12-07 22:17:13 | INFO     | ReconTool | [SYSTEM] Application closing
